team,link,league,season,squad_size,average_age,national_team_players,stadium_name,stadium_capacity,table_position,years_in_league
Paris Saint-Germain,https://www.transfermarkt.com/fc-paris-saint-germain/startseite/verein/583/saison_id/2025,FR1,2025,24,23.9,20,Parc des Princes,48583,2,52
Olympique Marseille,https://www.transfermarkt.com/olympique-marseille/startseite/verein/244/saison_id/2025,FR1,2025,24,26.9,14,Orange Vélodrome,67394,4,30
AS Monaco,https://www.transfermarkt.com/as-monaco/startseite/verein/162/saison_id/2025,FR1,2025,28,25.6,15,Stade Louis-II,18525,8,13
RC Strasbourg Alsace,https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2025,FR1,2025,25,22.7,11,Stade de la Meinau,26109,7,9
LOSC Lille,https://www.transfermarkt.com/losc-lille/startseite/verein/1082/saison_id/2025,FR1,2025,28,26.7,11,Decathlon Arena-Stade Pierre-Mauroy,50186,5,26
Olympique Lyon,https://www.transfermarkt.com/olympique-lyon/startseite/verein/1041/saison_id/2025,FR1,2025,28,25.4,11,Groupama Stadium,59186,3,37
Stade Rennais FC,https://www.transfermarkt.com/fc-stade-rennes/startseite/verein/273/saison_id/2025,FR1,2025,23,25.3,9,Roazhon Park,29778,6,32
OGC Nice,https://www.transfermarkt.com/ogc-nizza/startseite/verein/417/saison_id/2025,FR1,2025,27,26.0,13,Allianz Riviera,36178,14,24
Paris FC,https://www.transfermarkt.com/paris-fc/startseite/verein/10004/saison_id/2025,FR1,2025,31,28.4,9,Stade Jean Bouin,19904,15,1
RC Lens,https://www.transfermarkt.com/rc-lens/startseite/verein/826/saison_id/2025,FR1,2025,28,26.5,9,Stade Bollaert-Delelis,38223,1,6
FC Toulouse,https://www.transfermarkt.com/fc-toulouse/startseite/verein/415/saison_id/2025,FR1,2025,25,23.9,7,Stadium Municipal,33150,10,4
FC Nantes,https://www.transfermarkt.com/fc-nantes/startseite/verein/995/saison_id/2025,FR1,2025,28,26.9,6,Stade de la Beaujoire,35322,17,13
Stade Brestois 29,https://www.transfermarkt.com/stade-brest-29/startseite/verein/3911/saison_id/2025,FR1,2025,23,25.2,6,Stade Francis-Le Blé,15220,12,7
FC Lorient,https://www.transfermarkt.com/fc-lorient/startseite/verein/1158/saison_id/2025,FR1,2025,25,25.7,8,Stade du Moustoir,16787,9,1
AJ Auxerre,https://www.transfermarkt.com/aj-auxerre/startseite/verein/290/saison_id/2025,FR1,2025,29,24.0,8,Stade de l'Abbé-Deschamps,18541,16,2
Le Havre AC,https://www.transfermarkt.com/ac-le-havre/startseite/verein/738/saison_id/2025,FR1,2025,27,25.4,8,Stade Océane,25178,13,3
FC Metz,https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2025,FR1,2025,26,26.3,6,Stade Saint-Symphorien,28786,18,1
Angers SCO,https://www.transfermarkt.com/sco-angers/startseite/verein/1420/saison_id/2025,FR1,2025,24,25.7,5,Stade Raymond-Kopa,19350,11,2
